id,marital_status,custody_status,count_prison_stays,time_in_prison,case_m,case_f,case_total,case_hard,case_drug,case_gambling,age_first_offense,count_arrest
199,Single,Pretrial Defendant,0,,0,4,7,4,0,0,22,4
200,Married,Jail Inmate,0,,2,0,10,0,0,0,30,0
201,Single,Jail Inmate,0,,4,1,8,0,5,0,19,4
202,Single,Jail Inmate,0,,4,0,4,0,0,0,26,3
203,Single,Jail Inmate,0,,2,0,6,0,0,0,20,1
204,Single,Pretrial Defendant,0,,12,8,22,1,4,0,18,28
205,Single,Jail Inmate,0,,0,1,1,0,0,0,20,1
206,Single,Jail Inmate,0,,10,6,26,1,3,0,17,3
207,Single,Jail Inmate,0,,0,1,1,0,0,0,23,1
208,Married,Jail Inmate,0,,4,2,6,0,0,0,31,7
209,Single,Pretrial Defendant,0,,5,3,9,0,1,0,18,5
210,Single,Jail Inmate,0,,5,7,12,0,5,0,28,7
211,Married,Jail Inmate,0,,3,1,7,0,0,0,38,3
212,Married,Jail Inmate,0,,2,0,3,0,0,0,32,1
213,Single,Pretrial Defendant,0,,5,0,8,1,0,0,28,4
214,Single,Pretrial Defendant,1,7140,7,8,18,4,2,0,18,28
215,Married,Jail Inmate,0,,2,1,8,0,0,0,22,2
216,Single,Pretrial Defendant,0,,4,3,14,0,4,0,52,5
217,Single,Jail Inmate,1,51870,24,11,46,2,5,0,18,35
218,Single,Pretrial Defendant,0,,8,2,12,1,1,0,36,26
219,Single,Jail Inmate,0,,1,0,7,0,0,0,21,4
220,Single,Jail Inmate,0,,0,1,1,1,0,0,17,0
221,Significant Other,Pretrial Defendant,0,,8,11,22,1,0,0,37,10
222,Married,Jail Inmate,0,,2,0,5,0,0,0,37,0
223,Single,Jail Inmate,3,136114,11,13,26,1,11,0,15,23
224,Single,Pretrial Defendant,1,18938,6,29,36,1,19,0,19,34
225,Single,Jail Inmate,0,,21,3,48,2,2,0,18,9
226,Single,Jail Inmate,0,,1,6,8,2,0,0,20,9
227,Single,Jail Inmate,0,,2,1,4,0,0,0,29,1
228,Single,Jail Inmate,0,,11,10,21,1,14,0,19,28
229,Single,Jail Inmate,2,7524,3,5,9,0,2,0,18,6
230,Married,Jail Inmate,0,,1,0,5,1,0,0,45,1
231,Single,Jail Inmate,0,,0,1,1,1,0,0,18,1
232,Single,Pretrial Defendant,0,,3,0,4,0,0,0,24,4
233,Single,Jail Inmate,0,,8,3,11,0,0,0,18,15
234,Significant Other,Jail Inmate,0,,4,2,9,0,4,0,47,6
235,Married,Jail Inmate,0,,18,13,32,1,2,0,25,28
236,Single,Pretrial Defendant,0,,1,0,1,1,0,0,60,2
237,Single,Jail Inmate,0,,,,,,,,,0
238,Single,Pretrial Defendant,1,2880,2,7,10,3,0,0,23,12
239,Single,Jail Inmate,0,,0,3,12,1,0,0,22,3
240,Married,Pretrial Defendant,0,,0,1,1,1,0,0,43,1
241,Single,Jail Inmate,0,,4,0,14,0,0,0,19,4
242,Single,Pretrial Defendant,0,,3,0,7,0,0,0,42,3
243,Single,Jail Inmate,0,,0,1,7,1,0,0,16,4
244,Single,Jail Inmate,1,8240,8,7,19,1,0,0,18,16
245,Single,Jail Inmate,0,,4,4,8,1,2,0,22,8
246,Single,Jail Inmate,1,7168,5,2,10,0,6,0,30,8
247,Married,Jail Inmate,0,,1,0,1,0,0,0,32,1
248,Single,Jail Inmate,0,,0,1,1,0,0,0,19,1
249,Single,Pretrial Defendant,0,,9,5,20,0,5,0,29,7
250,Single,Jail Inmate,7,80160,2,10,12,1,2,0,29,15
251,Married,Pretrial Defendant,0,,6,4,12,1,0,0,40,12
252,Single,Jail Inmate,0,,0,2,2,0,2,0,28,2
253,Single,Jail Inmate,0,,1,0,14,0,0,0,24,1
254,Single,Jail Inmate,0,,5,0,6,0,1,0,19,2
255,Single,Jail Inmate,0,,5,4,9,2,2,0,24,8
256,Single,Pretrial Defendant,0,,3,0,3,0,0,0,19,3
257,Single,Pretrial Defendant,0,,0,1,1,0,1,0,20,1
258,Single,Jail Inmate,0,,4,5,21,4,0,0,23,9
259,Married,Jail Inmate,0,,6,1,13,0,0,0,47,5
260,Single,Jail Inmate,0,,4,6,19,0,2,0,22,13
261,Single,Jail Inmate,1,2615,4,1,5,0,0,0,27,5
262,Single,Pretrial Defendant,0,,6,5,13,0,3,0,30,23
263,Single,Jail Inmate,0,,0,2,3,1,0,0,46,1
264,Single,Pretrial Defendant,2,27672,8,10,20,3,1,0,18,24
265,Divorced,Jail Inmate,0,,11,9,28,3,0,0,18,6
266,Single,Jail Inmate,0,,3,1,6,0,0,0,47,8
267,Single,Pretrial Defendant,0,,5,1,6,0,0,0,54,3
268,Married,Jail Inmate,0,,5,1,20,0,0,0,71,1
269,Divorced,Jail Inmate,0,,1,1,7,0,2,0,49,4
270,Single,Jail Inmate,0,,2,0,2,0,1,0,19,2
271,Married,Jail Inmate,0,,0,1,3,0,0,0,20,1
272,Single,Pretrial Defendant,2,67520,29,15,62,3,4,0,16,40
273,Single,Jail Inmate,0,,4,1,18,0,1,0,20,5
274,Married,Jail Inmate,0,,2,1,5,0,1,0,28,3
275,Single,Pretrial Defendant,0,,7,1,15,0,3,0,19,6
276,Single,Jail Inmate,0,,0,0,10,0,0,0,18,0
277,Single,Jail Inmate,6,299268,20,29,53,12,6,0,23,58
278,Single,Jail Inmate,0,,2,0,4,0,0,0,18,1
279,Divorced,Jail Inmate,0,,2,1,10,0,0,0,50,0
280,Single,Pretrial Defendant,0,,4,2,13,0,2,0,20,5
281,Married,Pretrial Defendant,0,,2,2,5,1,0,0,52,2
282,Divorced,Jail Inmate,0,,21,2,30,1,4,0,28,23
283,Single,Pretrial Defendant,0,,1,0,1,0,0,0,26,1
284,Married,Pretrial Defendant,0,,1,1,9,0,0,0,41,1
285,Married,Jail Inmate,0,,1,0,3,0,0,0,47,0
286,Single,Jail Inmate,1,2990,10,16,39,2,8,0,19,23
287,Single,Jail Inmate,0,,11,3,14,1,2,0,32,14
288,Single,Jail Inmate,0,,3,2,9,0,3,0,21,0
289,Single,Jail Inmate,0,,11,8,19,2,9,0,19,24
290,Single,Jail Inmate,1,2900,1,4,8,2,1,0,19,4
291,Single,Jail Inmate,0,,1,3,5,1,0,0,21,3
292,Married,Jail Inmate,0,,5,9,17,0,10,0,37,14
293,Significant Other,Jail Inmate,0,,0,2,3,0,1,0,21,1
294,Single,Jail Inmate,0,,6,2,11,0,0,0,21,6
295,Single,Jail Inmate,6,131322,16,13,31,2,3,0,18,43
296,Married,Jail Inmate,0,,,,,,,,,0
297,Single,Jail Inmate,0,,1,2,3,0,0,0,21,1
298,Single,Jail Inmate,0,,4,2,6,0,4,0,18,10
299,Single,Jail Inmate,0,,0,62,62,50,0,0,48,11
300,Single,Pretrial Defendant,0,,3,0,9,0,0,0,30,4
301,Separated,Jail Inmate,0,,9,0,13,0,0,0,26,10
302,Single,Jail Inmate,3,45806,21,13,40,2,0,0,14,37
303,Divorced,Jail Inmate,0,,0,1,9,0,0,0,28,1
304,Significant Other,Jail Inmate,0,,4,6,14,2,1,0,20,6
305,Married,Pretrial Defendant,0,,2,5,9,0,4,0,23,7
306,Single,Jail Inmate,0,,7,3,13,0,2,0,22,12
307,Single,Jail Inmate,0,,1,4,6,0,0,0,19,6
308,Single,Jail Inmate,0,,1,0,1,0,0,0,24,1
309,Married,Jail Inmate,0,,2,0,4,0,0,0,24,2
310,Single,Jail Inmate,0,,1,1,2,0,0,0,25,2
311,Widowed,Pretrial Defendant,1,3080,10,17,27,6,1,0,19,44
312,Separated,Jail Inmate,0,,,,,,,,,0
313,Single,Jail Inmate,0,,7,13,26,6,0,0,21,16
314,Significant Other,Jail Inmate,0,,0,1,4,0,0,0,35,2
315,Significant Other,Jail Inmate,0,,3,1,9,0,0,0,25,4
316,Single,Pretrial Defendant,0,,6,1,13,0,1,0,20,7
317,Single,Jail Inmate,0,,1,2,15,1,0,0,23,2
318,Single,Jail Inmate,0,,1,4,5,2,0,0,17,5
319,Divorced,Jail Inmate,0,,10,2,20,0,1,0,42,19
320,Separated,Jail Inmate,3,47080,13,16,34,2,13,0,20,44
321,Single,Jail Inmate,0,,4,2,7,0,1,0,18,7
322,Single,Pretrial Defendant,1,3260,3,4,9,2,3,0,30,10
323,Single,Jail Inmate,0,,2,0,3,0,0,0,25,3
324,Single,Jail Inmate,0,,0,2,9,0,0,0,18,2
325,Married,Pretrial Defendant,0,,0,1,3,0,1,0,57,1
326,Single,Jail Inmate,0,,3,0,8,0,0,0,48,4
327,Single,Jail Inmate,0,,1,0,1,0,0,0,48,1
328,Single,Jail Inmate,0,,1,1,3,0,0,0,16,2
329,Separated,Jail Inmate,0,,5,1,9,0,1,0,32,6
330,Married,Jail Inmate,0,,0,2,5,2,0,0,42,2
330,Married,Pretrial Defendant,0,,0,2,5,2,0,0,42,2
331,Single,Jail Inmate,0,,3,3,7,1,0,0,21,4
332,Single,Jail Inmate,0,,2,3,9,2,1,0,23,10
333,Single,Jail Inmate,0,,3,2,7,0,2,0,20,7
334,Single,Jail Inmate,0,,11,13,37,1,0,0,18,35
335,Single,Jail Inmate,0,,2,0,4,0,0,0,31,1
336,Single,Jail Inmate,0,,6,3,23,1,3,0,19,10
337,Single,Jail Inmate,3,22533,15,10,29,4,9,0,27,29
338,Single,Jail Inmate,0,,0,3,3,1,0,0,19,3
339,Single,Jail Inmate,0,,1,2,8,1,0,0,18,3
340,Single,Jail Inmate,1,273,,,,,,,,0
341,Single,Pretrial Defendant,0,,2,3,7,1,1,0,18,3
342,Single,Jail Inmate,0,,3,2,16,1,1,0,17,2
343,Married,Jail Inmate,0,,,,,,,,,0
344,Single,Jail Inmate,0,,1,0,1,0,0,0,39,0
345,Single,Jail Inmate,0,,1,1,2,1,0,0,49,2
346,Significant Other,Jail Inmate,0,,,,,,,,,0
347,Single,Jail Inmate,0,,15,22,44,8,0,0,29,42
348,Widowed,Jail Inmate,0,,0,2,2,1,0,0,49,2
349,Single,Jail Inmate,0,,0,1,4,1,0,0,21,3
350,Significant Other,Jail Inmate,2,24442,13,10,26,0,7,0,17,22
351,Single,Jail Inmate,0,,3,1,4,0,0,0,19,5
352,Single,Pretrial Defendant,0,,0,7,33,6,0,0,39,9
353,Single,Jail Inmate,0,,1,0,2,0,0,0,32,1
354,Single,Jail Inmate,0,,0,1,1,0,1,0,19,1
355,Single,Jail Inmate,0,,8,2,15,0,4,0,19,6
356,Single,Jail Inmate,0,,9,1,30,0,6,0,19,1
357,Single,Jail Inmate,0,,2,6,8,1,0,0,29,3
358,Single,Jail Inmate,0,,6,2,12,1,0,0,19,3
359,Single,Jail Inmate,0,,15,10,43,2,7,0,16,27
360,Single,Jail Inmate,0,,5,0,6,0,2,0,16,3
361,Single,Jail Inmate,0,,6,1,16,0,3,0,41,11
362,Single,Pretrial Defendant,1,20412,22,36,74,7,0,0,18,63
363,Single,Jail Inmate,0,,18,1,30,0,1,0,19,14
364,Single,Jail Inmate,0,,0,1,1,1,0,0,22,1
365,Married,Jail Inmate,0,,1,0,7,0,0,0,24,1
366,Single,Jail Inmate,0,,3,1,5,1,0,0,16,0
367,Single,Pretrial Defendant,0,,0,3,3,1,0,0,17,7
368,Single,Jail Inmate,0,,0,1,1,1,0,0,19,1
369,Single,Jail Inmate,0,,2,0,6,0,0,0,33,2
370,Single,Jail Inmate,0,,0,2,8,0,0,0,28,2
371,Single,Jail Inmate,0,,2,1,14,0,1,0,38,5
372,Single,Jail Inmate,0,,5,1,13,0,1,0,33,2
373,Single,Jail Inmate,0,,1,0,1,0,0,0,22,1
374,Separated,Jail Inmate,0,,11,5,24,3,1,0,19,11
375,Single,Pretrial Defendant,0,,5,5,18,1,0,0,24,7
376,Single,Jail Inmate,0,,11,2,18,0,2,0,18,7
377,Single,Pretrial Defendant,0,,2,0,2,0,0,0,22,1
378,Single,Pretrial Defendant,0,,3,1,7,0,2,0,20,2
379,Married,Jail Inmate,0,,1,0,4,0,0,0,26,1
380,Married,Jail Inmate,0,,1,0,1,0,0,0,46,1
381,Single,Jail Inmate,0,,1,2,12,2,0,0,17,3
382,Single,Jail Inmate,0,,10,4,26,0,3,0,15,26
383,Single,Pretrial Defendant,0,,1,0,2,0,1,0,20,1
384,Single,Jail Inmate,0,,3,0,3,0,1,0,24,3
385,Single,Jail Inmate,0,,1,5,6,1,3,0,18,8
386,Single,Jail Inmate,0,,2,7,13,0,3,0,20,6
387,Single,Jail Inmate,0,,2,0,7,0,0,0,33,1
388,Single,Jail Inmate,0,,1,0,1,0,1,0,35,0
389,Single,Jail Inmate,0,,1,1,4,0,0,0,36,2
390,Single,Jail Inmate,0,,5,1,11,0,0,2,19,5
391,Single,Jail Inmate,0,,0,5,5,3,0,0,16,4
391,Single,Pretrial Defendant,0,,0,5,5,3,0,0,16,5
392,Single,Jail Inmate,0,,5,3,12,0,4,0,22,7
393,Single,Jail Inmate,0,,0,15,20,1,0,0,32,3
394,Single,Jail Inmate,0,,1,1,5,0,2,0,29,2
395,Single,Jail Inmate,1,5291,3,4,7,0,3,0,19,13
396,Single,Jail Inmate,0,,1,2,3,0,0,0,18,3
397,Married,Jail Inmate,2,49544,9,2,18,1,2,0,15,8
398,Single,Jail Inmate,0,,1,1,9,0,2,0,17,0
399,Married,Jail Inmate,0,,0,1,1,0,0,0,49,1
400,Single,Jail Inmate,0,,2,2,6,0,1,0,21,3
401,Single,Jail Inmate,0,,1,1,2,0,0,0,17,3
402,Single,Jail Inmate,0,,0,2,6,1,0,0,39,2
403,Divorced,Pretrial Defendant,2,40269,8,20,34,1,18,0,39,31
404,Single,Jail Inmate,0,,1,3,4,0,4,0,22,4
405,Single,Jail Inmate,0,,1,2,3,2,0,0,24,2
406,Single,Jail Inmate,0,,13,7,32,0,11,0,18,20
407,Single,Jail Inmate,0,,12,2,30,0,5,0,15,11
408,Single,Jail Inmate,0,,1,2,7,0,2,0,18,2
409,Single,Jail Inmate,2,3525,0,3,3,2,0,0,32,3
410,Single,Pretrial Defendant,0,,0,7,12,6,1,0,23,13
411,Single,Jail Inmate,0,,5,1,12,0,0,0,19,8
412,Single,Jail Inmate,1,3165,9,6,19,1,5,0,21,15
413,Single,Jail Inmate,0,,1,1,2,0,0,0,41,0
414,Single,Jail Inmate,0,,1,1,5,1,0,0,23,2
415,Single,Pretrial Defendant,3,193502,22,18,66,2,6,0,19,62
416,Single,Jail Inmate,0,,11,2,19,0,4,0,46,18
417,Single,Jail Inmate,0,,1,2,4,1,0,0,40,3
418,Significant Other,Jail Inmate,0,,3,0,6,0,0,0,35,1
419,Single,Jail Inmate,0,,,,,,,,,0
420,Significant Other,Jail Inmate,0,,4,0,8,0,0,0,37,1
