"case_number","case_total","case_m","case_f","case_gambling","case_hard","case_drugs"
"00009673CF10A",6,2,1,0,0,1
"00009694TI10A",0,0,0,0,0,0
"00009710CF10A",25,8,16,0,0,8
"00009738CF10A",11,3,8,0,1,3
"00009752CF10A",15,2,13,0,4,4
"00009794CF10A",0,0,0,0,0,0
"00009801CF10A",37,17,8,0,2,4
"00009888CF10A",14,3,11,0,2,7
"00009963CF10A",29,12,7,0,0,5
"00009996MM10A",10,5,4,0,2,4
"00010073CF10A",4,1,3,0,0,0
"00010075MM10A",9,2,0,0,0,0
"00010078CF10A",18,5,7,0,3,3
"00010088CF10A",5,2,3,0,1,0
"00010108CF10A",14,1,13,0,0,9
"00010134CF10A",1,0,0,0,0,0
"00010138CF10A",34,12,11,0,5,2
"00010248MM10A",11,4,3,0,0,4
"00010277CF10B",15,7,7,0,0,5
"00010278CF10A",15,7,7,0,0,5
"00010333CF10A",10,5,3,0,0,4
"00010364TI20A",0,0,0,0,0,0
"00010378CF10B",0,0,0,0,0,0
"00010379CF10A",0,0,0,0,0,0
"00010461CF10A",5,1,1,0,0,1
"00010631MO10A",3,1,0,0,0,0
"00010659CF10A",16,4,10,0,0,3
"00010680CF10A",0,0,0,0,0,0
"00010707CF10A",14,4,9,0,2,4
"00010783TC20A",1,1,0,0,0,0
"00010815CF10A",23,8,1,0,0,0
"00010824CF10A",2,0,0,0,0,0
"00010840CF10A",0,0,0,0,0,0
"00010856TC20A",4,1,3,0,0,4
"00010932CF10B",0,0,0,0,0,0
"00010933CF10A",0,0,0,0,0,0
"00010961CF10A",26,14,11,0,0,15
"00011038CF10A",0,0,0,0,0,0
"00011063CF10C",19,10,5,0,0,4
"00011119CF10A",8,3,1,0,0,1
"00011130CF10A",27,7,7,0,4,1
"00011224MO10A",4,0,4,0,0,4
"00011351CF10A",4,2,2,0,1,0
"00011457CF10A",1,0,1,0,0,1
"00011491MM10A",22,11,7,0,0,4
"00011502CF10A",33,16,0,0,0,0
"00011532CF10A",18,4,14,0,4,0
"00011624CF10B",8,3,3,0,0,2
"00011625CF10A",8,3,3,0,0,2
"00011630CF10A",19,10,5,0,0,4
"00011734CF10A",3,1,1,0,1,0
"00011762CF10A",0,0,0,0,0,0
"00011808TC10A",3,1,2,0,0,1
"00011870CF10A",1,1,0,0,0,0
"00011937CF10A",3,0,3,0,0,0
"00011954CF10A",23,11,9,0,0,17
"00011962TC10A",6,4,0,0,0,0
"00012118CF10A",0,0,0,0,0,0
"00012122CF10A",19,6,6,0,0,5
"00012128CF10A",0,0,0,0,0,0
"00012129CF10A",7,2,1,0,0,1
"00012207CF10A",12,4,5,0,0,6
"00012218CF10A",4,1,3,0,0,2
"00012300CF10B",10,3,5,0,0,4
"00012301CF10A",10,3,5,0,0,4
"00012362CF10A",10,2,4,0,0,1
"00012389CF10A",2,1,1,0,0,0
"00012545CF10A",18,2,16,0,3,2
"00012600TC10A",34,12,15,0,2,11
"00012639CF10A",1,0,1,0,0,0
"00012660CF10A",4,0,4,0,1,2
"00012716TC10A",27,10,7,0,0,5
"00012751CF10A",16,6,5,0,1,5
"00012755CF10A",2,1,0,0,0,0
"00012862CF10A",0,0,0,0,0,0
"00012869CF10A",5,2,1,0,0,2
"00012902CF10A",10,3,7,0,0,7
"00013010CF10A",2,0,0,0,0,0
"00013014CF10A",22,2,13,0,2,8
"00013087CF10A",4,1,3,0,1,1
"00013099CF10A",24,10,10,0,0,9
"00013115CF10A",0,0,0,0,0,0
"00013129CF10A",9,1,6,0,2,2
"00013139CF10A",0,0,0,0,0,0
"00013169CF10A",0,0,0,0,0,0
"00013191CF10A",6,1,4,0,1,4
"00013226CF10B",2,0,2,0,2,0
"00013258CF10A",8,2,4,0,2,1
"00013263TC10A",17,3,0,0,0,0
"00013265TC10A",12,1,0,0,0,0
"00013276CF10A",1,0,1,0,1,0
"00013279CF10A",11,10,1,0,1,0
"00013287TC10A",19,4,0,0,0,0
"00013386CF10A",0,0,0,0,0,0
"00013563TC10A",17,0,17,0,8,0
"00013576CF10A",1,0,0,0,0,0
"00013592CF10A",10,1,8,0,3,4
"00013650TC10A",8,5,0,0,0,0
"00013676CF10A",4,4,0,0,0,1
"00013678CF10A",23,8,7,0,0,6
"00013693CF10A",27,11,14,0,3,6
"00013705CF10A",8,5,3,0,0,6
"00013747MM10A",1,0,0,0,0,0
"00013779CF10A",1,1,0,0,0,1
"00013899TI10A",1,1,0,0,0,0
"00013971CF10A",16,4,7,0,2,4
"00014020CF10A",7,4,0,0,0,0
"00014027CF10A",0,0,0,0,0,0
"00014044CF10A",14,0,14,0,8,0
"00014069TC20A",0,0,0,0,0,0
"00014140CF10A",1,0,1,0,0,1
"00014167CF10A",7,0,1,0,0,1
"00014176CF10A",0,0,0,0,0,0
"00014178CF10A",0,0,0,0,0,0
"00014192MM10A",31,12,16,0,2,0
"00014209CF10A",2,2,0,0,0,0
"00014284CF10A",20,4,15,0,1,9
"00014295MO10A",5,1,4,0,0,4
"00014364CF10A",0,0,0,0,0,0
"00014411CF10A",1,0,0,0,0,0
"00014418CF10A",30,11,17,0,4,6
"00014438CF10B",0,0,0,0,0,0
"00014439CF10A",0,0,0,0,0,0
"00014462CF10A",21,6,12,0,3,3
"00014483MM10A",16,4,6,0,2,0
"00014495CF10A",2,0,2,0,0,0
"00014500CF10A",1,0,1,0,0,0
"00014552CF10A",32,11,7,0,0,9
"00014616CF10A",21,8,6,1,0,5
"00014645CF10A",19,10,9,0,1,9
"00014667CF10B",0,0,0,0,0,0
"00014700CF10A",0,0,0,0,0,0
"00014702CF10A",2,1,0,0,0,0
"00014737CF10A",0,0,0,0,0,0
"00014945CF10A",17,3,7,0,1,2
"00014959TC10A",7,3,0,0,0,0
"00014963CF10A",19,11,2,0,0,3
"00014984CF10A",11,5,2,0,1,0
"00015003MM10A",13,5,2,0,1,1
"00015044CF10A",8,4,4,0,0,4
"00015130CF10A",27,10,16,0,2,14
"00015251CF10A",1,0,1,0,0,0
"00015291CF10A",3,2,0,0,0,0
"00015346TC10A",9,1,2,0,1,0
"00015351CF10A",7,4,3,0,0,2
"00015454CF10A",21,13,1,0,1,1
"00015494CF10A",17,9,8,0,0,15
"00015526CF10A",28,15,12,0,0,17
"00015530CF10A",0,0,0,0,0,0
"00015599CF10A",0,0,0,0,0,0
"00015743CF10A",1,0,1,0,0,1
"00015826CF10A",4,2,0,0,0,0
"00015842CF10A",0,0,0,0,0,0
"00015916CF10A",23,3,20,0,5,3
"00016003CF10A",24,6,15,0,0,2
"00016063CF10A",6,3,3,0,2,1
"00016101CF10B",0,0,0,0,0,0
"00016102CF10A",0,0,0,0,0,0
"00016221CF10A",6,1,5,0,2,3
"00016247CF10A",34,4,13,0,3,4
"00016341CF10A",6,4,2,0,0,3
"00016368CF10A",22,3,17,0,6,3
"00016410CF10A",0,0,0,0,0,0
"00016427CF10A",7,0,7,0,0,0
"00016493CF10A",11,5,2,0,1,1
"00016557TC10A",1,0,1,0,0,1
"00016560TI30A",0,0,0,0,0,0
"00016561TI30A",0,0,0,0,0,0
"00016596MM10A",19,7,7,0,3,1
"00016618TC10A",4,0,3,0,0,3
"00016655CF10A",5,0,3,0,0,3
"00016693CF10A",7,4,3,0,1,4
"00016715CF10A",14,5,7,0,0,10
"00016834CF10A",19,9,10,0,0,9
"00016973CF10A",4,1,0,0,0,0
"00017023TC10A",2,1,0,0,0,0
"00017024MM10A",0,0,0,0,0,0
"00017093CF10A",2,0,1,0,1,0
"00017294CF10A",0,0,0,0,0,0
"00017404CF10A",11,7,1,0,0,1
"00017563CF10A",0,0,0,0,0,0
"00017565MM10A",10,5,4,0,0,4
"00017599CF10A",4,2,2,0,1,0
"00017603CF10A",0,0,0,0,0,0
"00017633CF10A",0,0,0,0,0,0
"00017656CF10A",3,1,2,0,0,1
"00017684CF10A",29,9,17,0,0,2
"00017694TC30A",0,0,0,0,0,0
"00017779CF10A",19,6,11,0,2,9
"00017837CF10A",23,13,1,0,0,4
"00017859TI30A",1,0,0,0,0,0
"00017887CF10A",25,10,14,0,7,4
"00018015CF10A",0,0,0,0,0,0
"00018079CF10A",12,3,6,0,0,1
"00018104CF10A",0,0,0,0,0,0
"00018130CF10A",9,4,5,0,0,5
"00018191CF10A",0,0,0,0,0,0
"00018230CF10A",7,1,5,0,0,3
"00018287MM10A",0,0,0,0,0,0
"00018385CF10A",4,0,4,0,0,4
"00018386CF10A",2,0,2,0,0,2
"00018387CF10A",4,0,4,0,0,4
"00018393CF10A",3,1,2,0,0,2
"00018395CF10A",1,1,0,0,0,0
"00018396CF10A",2,1,1,0,0,1
"00018454MM10A",19,8,10,0,0,9
"00018484CF10A",6,3,3,0,1,3
"00018490CF10A",9,1,6,0,1,5
"00018511CF10B",7,3,4,0,2,1
"00018512CF10A",7,3,4,0,2,1
"00018539CF10A",0,0,0,0,0,0
"00018633TC40A",28,12,0,0,0,0
"00018662CF10A",10,2,6,0,1,6
"00018681CF10A",4,2,1,0,0,0
"00018698CF10A",15,9,0,0,0,0
"00018704CF10B",0,0,0,0,0,0
"00018705CF10A",0,0,0,0,0,0
"00018779MM10A",6,0,1,0,1,0
"00018912CF10A",3,0,0,0,0,0
"00018967CF10A",6,1,0,0,0,0
"00019040CF10A",14,4,10,0,0,0
"00019106CF10A",0,0,0,0,0,0
"00019178CF10A",7,0,7,0,1,0
"00019179CF10A",8,2,4,0,0,4
"00019259TC20A",0,0,0,0,0,0
"00019342CF10A",9,5,3,0,0,3
"00019395CF10A",4,2,1,0,1,1
"00019412TC10A",13,4,8,0,0,5
"00019424TC10A",15,4,4,0,0,0
"00019452CF10A",21,4,11,0,1,2
"00019506CF10A",13,4,9,0,0,7
"00019633CF10A",2,1,1,0,0,2
"00019643CF10A",5,3,2,0,1,1
"00019662MM10A",19,1,17,0,8,0
"00019686CF10A",7,1,5,0,0,3
"00019687CF10A",7,1,5,0,0,3
"00019766CF10B",43,13,28,0,9,6
"00019767CF10A",43,13,28,0,9,6
"00019880CF10A",1,1,0,0,1,0
"00019881CF10A",3,0,3,0,0,0
"00019882CF10A",4,0,4,0,0,0
"00019883CF10A",5,0,5,0,0,0
"00019884CF10A",0,0,0,0,0,0
"00019885CF10A",0,0,0,0,0,0
"00019910MO10A",3,1,0,0,0,0
"00019929CF10A",2,1,1,0,0,1
"00019962MM10A",0,0,0,0,0,0
"00019983CF10A",16,6,10,0,2,5
"00019995CF10A",3,1,2,0,0,0
"00020039CF10A",19,10,7,0,0,11
"00020084CF10A",4,2,2,0,0,1
"00020261CF10A",4,1,0,0,0,0
"00020271CF10A",3,1,2,0,0,2
"00020297MM10A",11,5,2,0,0,1
"00020343CF10A",16,5,2,0,0,2
"00020355CF10A",0,0,0,0,0,0
"00020361CF10A",0,0,0,0,0,0
"00020382MM10A",12,5,6,0,0,6
"00020478CF10A",8,1,7,0,1,6
"00020555CF10A",9,2,4,0,2,0
"00020556MM10A",0,0,0,0,0,0
"00020627MM10A",5,1,4,0,1,2
"00020650TC10A",25,8,4,0,0,0
"00020665TC10A",30,14,0,0,0,0
"00020756CF10A",7,3,4,0,2,4
"00020787CF10A",1,0,1,0,0,1
"00020835CF10A",10,4,6,0,2,0
"00020885CF10A",6,1,3,0,2,1
"00020888CF10A",21,6,13,0,1,7
"00021088CF10A",5,0,2,0,1,0
"00021220CF10A",3,0,3,0,0,0
"00021232MM10A",6,2,0,0,0,0
"00021263CF10A",0,0,0,0,0,0
"00021282TC10A",0,0,0,0,0,0
"00021286CF10A",3,0,1,0,0,1
"00021367CF10A",0,0,0,0,0,0
"00021529CF10A",0,0,0,0,0,0
"00021543CF10A",12,6,2,0,1,1
"00021578TC40A",0,0,0,0,0,0
"00021692CF10B",0,0,0,0,0,0
"00021693CF10A",0,0,0,0,0,0
"00021770CF10A",54,15,37,0,12,6
"00021793CF10A",7,3,2,0,0,2
"00021862MM10A",0,0,0,0,0,0
"00021865TI30A",0,0,0,0,0,0
"00021898CF10A",2,0,2,0,1,0
"00022022CF10A",12,5,6,0,3,3
"00022077MM10A",0,0,0,0,0,0
"00022131CF10A",29,7,9,0,6,1
"00022138CF10A",11,4,5,0,1,3
"00022234CF10A",30,13,17,0,3,4
"00022248CF10A",1,0,1,0,0,1
"00022260CF10A",6,1,4,0,0,1
"00022268CF10A",37,11,24,0,7,6
"00022317CF10A",21,8,10,0,1,11
"00022364CF10A",2,1,1,0,0,0
"00022375CF10A",11,7,3,0,2,0
"00022400CF10A",0,0,0,0,0,0
"00022420MM10A",4,1,2,0,0,3
"00022438CF10A",33,11,20,0,5,6
"00022615TI30A",2,2,0,0,0,0
"00022864MM10A",21,6,12,0,3,3
"00023261MM10A",13,3,2,0,1,0
"00023321MM10A",0,0,0,0,0,0
"00023394TC30A",0,0,0,0,0,0
"00023426TC30A",1,0,1,0,0,1
"00023699MM10A",2,2,0,0,0,0
"00024148MM10A",15,3,6,0,0,5
"00024171MM10A",3,1,2,0,0,3
"00024314MM10A",10,3,3,0,0,4
"00025006MO10A",4,2,2,0,0,2
"00025383MO10A",27,7,17,0,0,2
"00025811TC30A",6,3,1,0,0,1
"00025828TC40A",0,0,0,0,0,0
"00025984MM10A",25,10,11,0,0,10
"00026516MM10A",26,15,2,0,0,6
"00026628MM10A",25,8,4,0,1,0
"00027455MO10A",8,5,3,0,0,4
"00027794TC10A",4,1,0,0,0,1
"00027795TC10A",12,7,5,0,0,10
"00028061TC40A",29,13,0,0,0,0
"00028195MM10A",9,0,9,0,0,1
"00028249TC10A",4,1,2,0,1,1
"00028261TC10A",3,0,3,0,1,1
"00028275TC10A",13,2,7,0,0,2
"00028280MM10A",2,1,1,0,1,1
"00028315TC10A",5,1,2,0,1,0
"00028508MM10A",18,10,7,0,0,11
"00028728MM10A",12,7,2,0,0,1
"00028812TC40A",27,11,0,0,0,0
"00028812TI20A",0,0,0,0,0,0
"00028989TC10A",35,13,15,0,2,11
"00029399TC40A",3,0,1,0,0,1
"00029543TC30A",10,6,3,0,1,6
"00029598TC20A",6,2,3,0,0,5
"00029895TC20A",33,9,14,0,1,9
"00029896TC20A",0,0,0,0,0,0
"00030043MM10A",7,1,4,0,1,2
"00030463MM10A",10,5,2,0,0,0
"00030846MM10A",28,11,12,0,2,10
"00031482MM10A",21,7,9,0,3,1
"00031509TI30A",0,0,0,0,0,0
"00031759TC10A",18,8,10,0,0,9
"00032050TC20A",34,10,14,0,1,9
"00032196TC10A",9,4,2,0,1,0
"00032355TI20A",1,0,0,0,0,0
"00032487TC20A",35,11,14,0,1,9
"00032743TC10A",5,0,0,0,0,0
"00033568TC10A",19,6,9,0,0,1
"00035348TC30A",7,2,1,0,0,1
"00035904TC10A",8,1,4,0,2,0
"00036298TC10A",0,0,0,0,0,0
"00036704TC40A",2,2,0,0,0,0
"00037150TC10A",11,4,5,0,1,0
"00037165TC10A",2,1,1,0,0,1
"00037912TC10A",11,4,0,0,0,0
"00038604TC10A",14,6,4,0,1,0
"00039330TC10A",30,9,4,0,0,0
"00040648TC10A",19,2,9,0,0,8
"00040765TC10A",26,13,10,0,2,5
"00040768TC10A",26,13,10,0,2,5
"00041137TC10A",28,9,7,0,1,0
"00041140TC10A",12,5,5,0,1,0
"00042432TC10A",13,5,6,0,0,0
"00043092TC10A",2,1,0,0,0,0
"00044474TI40A",0,0,0,0,0,0
"00045409TC10A",21,9,12,0,5,2
"00046223TC10A",7,3,2,0,0,1
"00046924TC10A",14,6,3,0,0,4
"00047413TC30A",3,2,0,0,0,0
"00047682TI30A",0,0,0,0,0,0
"00050204TC20A",33,11,11,0,5,2
"00051308TC20A",17,5,9,0,3,1
"00052404TI30A",0,0,0,0,0,0
"00053651TC30A",1,0,0,0,0,0
"00055133TC30A",0,0,0,0,0,0
"00057082TC40A",5,1,4,0,2,1
"00057298TI40A",2,0,0,0,0,0
"00057412TC30A",0,0,0,0,0,0
"00057876TC40A",3,2,0,0,0,0
"00058711TC40A",2,0,0,0,0,0
"00060141TC40A",1,0,0,0,0,0
"00063048TC40A",0,0,0,0,0,0
"00066629TC30A",8,2,0,0,0,0
"00066653TC30A",5,0,0,0,0,0
"00066778TI20A",0,0,0,0,0,0
"00069324TC40A",4,3,0,0,0,0
"00072133TC20A",5,3,0,0,0,0
"00073541TC40A",13,5,0,0,0,0
"00074086TC20A",5,3,0,0,0,0
"00074893TC40A",1,0,1,0,0,0
"00075964TC20A",18,6,9,0,3,1
"00079463TC20A",15,5,10,0,0,10
"00079596TC40A",0,0,0,0,0,0
"00081030TC40A",16,5,11,0,0,6
"00081048TC30A",0,0,0,0,0,0
"00083706TC40A",0,0,0,0,0,0
"00085267TC40A",12,1,5,0,0,5
"00085298TC40A",0,0,0,0,0,0
"00085736TC20A",1,0,1,0,1,0
"00087334TC20A",10,5,0,0,0,0
"00088246TC40A",3,1,0,0,0,0
"00090941TC40A",0,0,0,0,0,0
"00091439TI40A",0,0,0,0,0,0
"00091871TC30A",27,10,4,0,1,0
"00092763TC20A",18,3,4,0,0,4
"00093685TC30A",16,3,7,0,0,2
"00095007TC40A",2,1,1,0,0,0
"00095318TC20A",0,0,0,0,0,0
"00095562TC30A",26,11,14,0,5,9
"00105285TC40A",0,0,0,0,0,0
"00108100TC40A",1,1,0,0,0,0
"00111108TC20A",2,0,0,0,0,0
"00111119TC20A",13,8,0,0,0,0
"00112217TC20A",2,1,0,0,0,0
"00116172TC20A",4,1,0,0,0,0
"00116864TC40A",3,2,0,0,0,0
"00118087TC20A",3,0,0,0,0,0
"00122189TC40A",2,1,1,0,0,1
"00125179TC40A",4,1,0,0,0,0
"00127099TC20A",4,2,0,0,0,1
"00129236TC20A",9,5,1,0,1,0
